outlet,volume,2mm,5mm,7mm,10mm,15mm,20mm,30mm,50mm
228WS52,0,0,0,0,0,0,0,0,0
228WS52,750,57.6,20.8,10.2,1.3,1.8,1.5,1.5,0.5
228WS52,1500,100,43.4,26.1,12.5,2.4,4.1,2.3,1.6
228WS52,2250,100,69.9,46.1,28.9,12.2,10,2.7,1.6
228WS52,3000,100,96.8,66.6,42.2,20,14.1,3,1.7
228WS52,3750,100,100,84.4,55.7,30.5,19.5,7.5,1.8
228WS52,6000,100,100,100,94.7,58.6,39.2,17.2,4
208YS66,0,0,0,0,0,0,0,0,0
208YS66,750,100,100,100,38.2,24.1,18.3,13.1,9.4
208YS66,1500,100,100,100,49.7,38.8,27.9,20.7,25.4
208YS66,2250,100,100,100,68.2,53.15,38.1,28.7,30.2
208YS66,3000,100,100,100,85.4,67.35,49.3,35.9,35.1
208YS66,3750,100,100,100,97,77.2,57.4,41.7,40.4
208YS66,6000,100,100,100,100,100,80.1,56.7,52.1
108YS40,0,0,0,0,0,0,0,0,0
108YS40,750,100,100,100,23,9.8,14.7,10.5,12.2
108YS40,1500,100,100,100,46.9,26.4,19.7,16.4,13.5
108YS40,2250,100,100,100,75.4,45.1,29.5,18.9,21.6
108YS40,3000,100,100,100,100,65.1,44.5,28.1,22.7
108YS40,3750,100,100,100,100,83.4,57.7,33.9,21.5
108YS40,6000,100,100,100,100,100,95.2,59.7,37
101YS1520,0,0,0,0,0,0,0,0,0
101YS1520,750,100,100,81.7,63.4,38.9,22.9,19,13
101YS1520,1500,100,100,100,100,81.8,56.1,36.4,19.6
101YS1520,2250,100,100,100,100,100,84.7,47.9,21
101YS1520,3000,100,100,100,100,100,100,65.3,33.5
101YS1520,3750,100,100,100,100,100,100,81.4,36.9
101YS1520,6000,100,100,100,100,100,100,100,68.1